45.7353460225, 4.88958397628;"{""type"": ""Point"", ""coordinates"": [4.889583976281172, 45.735346022545954]}";8059;Laennec/Pinel;Rue Paradin;;Lyon 8 ème;59;Non;Jardin public;45.7353460225460000;4.8895839762811800;18;OPEN;17;1;1;Vert;t;787;2015-07-01 16:09:36;2015-07-01 16:11:00
45.7496868149, 4.79561061527;"{""type"": ""Point"", ""coordinates"": [4.795610615269669, 45.74968681487182]}";5036;La Salette;Rue Commandant Charcot;;Lyon 5 ème;36;Oui;Habitations, commerces;45.7496868148719000;4.7956106152696700;15;OPEN;5;10;1;Vert;t;983;2015-07-01 16:02:59;2015-07-01 16:11:00
45.7240933491, 4.82713062819;"{""type"": ""Point"", ""coordinates"": [4.827130628192124, 45.72409334911947]}";7020;Parc de Gerland;Allée Pierre de Coubertin;derrière le Palais des Sports Entrée du P;Lyon 7 ème;20;Non;Parc de Gerland, Palais des Sports;45.7240933491196000;4.8271306281921300;26;OPEN;2;24;1;Vert;t;801;2015-07-01 16:08:15;2015-07-01 16:11:00
45.7542631709, 4.8634659166;"{""type"": ""Point"", ""coordinates"": [4.863465916595747, 45.754263170859794]}";3066;Kimmerling / Faure;139 avenue Faure;;Lyon 3 ème;66;Non;Bureaux, habitat, collège;45.7542631708599000;4.8634659165957500;20;OPEN;14;6;1;Vert;t;958;2015-07-01 16:04:06;2015-07-01 16:11:00
45.763640703, 4.87314108788;"{""type"": ""Point"", ""coordinates"": [4.873141087880778, 45.76364070302342]}";10025;Totem;Cours Tolstoi;;VILLEURBANNE;25;Non;Centre Quartier;45.7636407030235000;4.8731410878807800;20;OPEN;16;3;1;Vert;t;900;2015-07-01 16:09:10;2015-07-01 16:11:00
45.767534302, 4.87396620987;"{""type"": ""Point"", ""coordinates"": [4.873966209868981, 45.76753430200755]}";10028;République / Anatole France;Cours de la République;Angle Anatole France;VILLEURBANNE;28;Non;Conservatoire (A. France = itinéraire cyclable);45.7675343020076000;4.8739662098689800;24;OPEN;14;9;1;Vert;t;878;2015-07-01 16:10:09;2015-07-01 16:11:00
45.7797016132, 4.859991161;"{""type"": ""Point"", ""coordinates"": [4.859991160995684, 45.77970161324886]}";10005;Parc Tête d'Or / Stalingrad;Boulevard du 11 novembre 1918;Entrée parc;VILLEURBANNE;5;Non;Parc Tête d'Or, itinéraire cyclable;45.7797016132489000;4.8599911609956900;35;OPEN;18;17;1;Vert;t;1080;2015-07-01 16:10:05;2015-07-01 16:11:00
45.7707325605, 4.85677966748;"{""type"": ""Point"", ""coordinates"": [4.856779667477086, 45.77073256054896]}";6024;Tronchet / Anatole France;Rue Tronchet;angle rue Anatole France;Lyon 6 ème;24;Non;Lycée du Parc, piscine Tronchet;45.7707325605490000;4.8567796674770900;10;OPEN;7;2;1;Vert;t;1061;2015-07-01 16:04:55;2015-07-01 16:11:00
45.7525429085, 4.89425874575;"{""type"": ""Point"", ""coordinates"": [4.894258745750595, 45.75254290853357]}";3102;Dr Long / Caille;2, rue de la Caille;;Lyon 3 ème;102;Non;Maillage;45.7525429085337000;4.8942587457506000;16;OPEN;16;0;3;Orange;t;789;2015-07-01 16:08:56;2015-07-01 16:11:00
45.7738436682, 4.89384801671;"{""type"": ""Point"", ""coordinates"": [4.89384801671434, 45.77384366819808]}";10030;Greuze;Rue proudhon;;VILLEURBANNE;30;Non;centre social;45.7738436681982000;4.8938480167143400;18;OPEN;0;18;2;Bleu;t;822;2015-07-01 15:44:47;2015-07-01 16:11:00
